customer_id,gender,age,marital_status,education,occupation,annual_income,city,state,join_date
C00001,Male,37,Married,Master,Business,2853670,Ludhiana,Punjab,01-09-2020
C00002,Male,65,Single,PhD,Business,1575315,Cuttack,Odisha,02-05-2025
C00003,Male,60,Single,Bachelor,Government,2781078,Bhopal,Madhya Pradesh,10-03-2020
C00004,Female,52,Married,Bachelor,Business,1356088,Faridabad,Haryana,16-01-2025
C00005,Male,44,Married,PhD,Self-Employed,758080,Ludhiana,Punjab,11-11-2024
C00006,Female,32,Married,Master,Professional,267552,Indore,Madhya Pradesh,14-09-2023
C00007,Male,51,Single,Master,Government,2659034,Indore,Madhya Pradesh,08-11-2023
C00008,Female,39,Single,Bachelor,Salaried,2887878,Chennai,Tamil Nadu,25-09-2024
C00009,Male,49,Single,Bachelor,Business,1043209,Gurugram,Haryana,04-04-2022
C00010,Male,41,Married,Bachelor,Professional,871082,Mangaluru,Karnataka,17-06-2020
C00011,Female,46,Single,Master,Self-Employed,867134,Ahmedabad,Gujarat,09-06-2023
C00012,Male,48,Married,Bachelor,Salaried,2093335,Warangal,Telangana,22-01-2023
C00013,Female,37,Single,Master,Salaried,882993,New Delhi,Delhi,06-06-2025
C00014,Male,29,Married,MBA,Business,454535,Vadodara,Gujarat,03-04-2021
C00015,Female,41,Married,Bachelor,Professional,1104533,Nagpur,Maharashtra,02-06-2021
C00016,Female,54,Single,Bachelor,Self-Employed,1840976,Warangal,Telangana,05-06-2024
C00017,Female,31,Single,Master,Self-Employed,2369032,Hyderabad,Telangana,15-05-2020
C00018,Male,40,Single,Bachelor,Self-Employed,934346,Raipur,Chhattisgarh,28-02-2025
C00019,Female,59,Married,PhD,Self-Employed,1116993,Kolkata,West Bengal,05-01-2024
C00020,Male,36,Married,Master,Business,2872147,Guwahati,Assam,07-02-2023
C00021,Female,49,Married,High School,Business,988520,Bhubaneswar,Odisha,01-02-2022
C00022,Female,21,Married,Bachelor,Professional,1663383,Bhubaneswar,Odisha,12-07-2020
C00023,Female,38,Married,Master,Government,2758327,Warangal,Telangana,05-08-2022
C00024,Male,42,Married,Bachelor,Business,826429,Bengaluru,Karnataka,03-06-2023
C00025,Male,28,Single,High School,Self-Employed,1427939,Jodhpur,Rajasthan,07-07-2023
C00026,Male,27,Married,Bachelor,Professional,885341,Amritsar,Punjab,17-10-2025
C00027,Female,45,Married,Master,Self-Employed,754121,Lucknow,Uttar Pradesh,28-05-2025
C00028,Male,50,Divorced,Bachelor,Business,2359570,Amritsar,Punjab,17-02-2025
C00029,Male,54,Single,Master,Professional,714974,Ranchi,Jharkhand,07-11-2023
C00030,Female,64,Married,Bachelor,Self-Employed,2343722,Madurai,Tamil Nadu,01-05-2024
C00031,Female,61,Married,High School,Government,2105552,Gaya,Bihar,23-12-2024
C00032,Male,31,Married,Bachelor,Salaried,512712,Ranchi,Jharkhand,08-08-2024
C00033,Male,35,Married,Bachelor,Salaried,1657923,Lucknow,Uttar Pradesh,11-09-2022
C00034,Male,55,Divorced,MBA,Self-Employed,2407328,Ahmedabad,Gujarat,01-08-2021
C00035,Female,43,Divorced,PhD,Salaried,1967167,Bhubaneswar,Odisha,17-03-2024
C00036,Female,65,Married,Bachelor,Government,786139,Ludhiana,Punjab,29-01-2021
C00037,Female,41,Married,Bachelor,Government,298742,Warangal,Telangana,22-07-2025
C00038,Female,48,Married,PhD,Self-Employed,2903463,Faridabad,Haryana,29-01-2023
C00039,Female,33,Single,Bachelor,Government,2819719,Bhubaneswar,Odisha,20-05-2020
C00040,Male,54,Single,Bachelor,Salaried,2040343,Bengaluru,Karnataka,06-04-2023
C00041,Male,58,Divorced,High School,Self-Employed,2499135,Patna,Bihar,07-06-2021
C00042,Male,26,Married,Master,Salaried,721327,Raipur,Chhattisgarh,12-03-2020
C00043,Female,64,Divorced,Bachelor,Government,2007791,Chennai,Tamil Nadu,06-11-2021
C00044,Female,24,Married,Master,Government,2202247,Ranchi,Jharkhand,10-09-2025
C00045,Male,25,Married,Bachelor,Professional,922359,Gurugram,Haryana,09-03-2023
C00046,Male,60,Divorced,Bachelor,Business,2283540,Chennai,Tamil Nadu,21-04-2025
C00047,Male,26,Single,Bachelor,Business,1256768,Vadodara,Gujarat,10-11-2021
C00048,Female,41,Married,MBA,Self-Employed,2788124,New Delhi,Delhi,30-07-2022
C00049,Female,48,Married,MBA,Salaried,1466344,Kolkata,West Bengal,26-02-2021
C00050,Female,23,Single,Master,Business,727481,Coimbatore,Tamil Nadu,28-07-2021
C00051,Female,43,Single,High School,Self-Employed,2606489,Ranchi,Jharkhand,22-10-2024
C00052,Female,28,Married,Bachelor,Government,2344233,Warangal,Telangana,27-08-2020
C00053,Male,39,Married,Bachelor,Business,1827753,Surat,Gujarat,27-08-2023
C00054,Male,31,Single,Bachelor,Salaried,2153316,Kolkata,West Bengal,18-03-2022
C00055,Female,30,Married,MBA,Professional,2872358,Chennai,Tamil Nadu,02-05-2025
C00056,Female,48,Married,High School,Professional,2395195,Patna,Bihar,28-08-2020
C00057,Male,40,Married,Master,Business,408890,Guwahati,Assam,14-11-2021
C00058,Female,64,Single,Bachelor,Professional,1860487,Bhubaneswar,Odisha,28-06-2025
C00059,Female,48,Married,Bachelor,Self-Employed,1462026,Gurugram,Haryana,22-12-2020
C00060,Male,49,Single,Master,Salaried,2722779,Patna,Bihar,05-09-2025
C00061,Female,28,Single,Bachelor,Government,1386739,Faridabad,Haryana,20-10-2020
C00062,Female,39,Single,High School,Salaried,2177071,Guwahati,Assam,12-09-2022
C00063,Male,41,Married,Bachelor,Government,954785,Kochi,Kerala,16-03-2020
C00064,Female,38,Single,MBA,Professional,776633,Ranchi,Jharkhand,16-07-2022
C00065,Female,29,Single,Bachelor,Self-Employed,1711249,Cuttack,Odisha,08-06-2023
C00066,Male,24,Single,High School,Government,2012235,Kochi,Kerala,21-09-2024
C00067,Male,61,Divorced,Master,Professional,2849200,Noida,Uttar Pradesh,04-11-2023
C00068,Female,45,Divorced,Bachelor,Government,2055997,Bhubaneswar,Odisha,20-09-2025
C00069,Male,54,Single,Bachelor,Business,2435424,Thiruvananthapuram,Kerala,18-02-2021
C00070,Male,29,Single,Bachelor,Salaried,1460979,Pune,Maharashtra,15-03-2020
C00071,Female,29,Divorced,Bachelor,Self-Employed,2998381,Ludhiana,Punjab,27-09-2021
C00072,Male,38,Single,Bachelor,Professional,2828877,Kanpur,Uttar Pradesh,12-06-2022
C00073,Female,31,Single,Master,Self-Employed,1509710,Pune,Maharashtra,27-06-2023
C00074,Male,33,Single,Bachelor,Salaried,1858520,Hyderabad,Telangana,03-04-2024
C00075,Male,58,Divorced,Bachelor,Government,1514286,Gurugram,Haryana,28-09-2021
C00076,Female,29,Married,High School,Government,1602276,Indore,Madhya Pradesh,03-04-2022
C00077,Female,36,Single,Bachelor,Self-Employed,2919589,Raipur,Chhattisgarh,30-09-2021
C00078,Female,24,Single,High School,Government,1882528,Faridabad,Haryana,29-01-2024
C00079,Male,54,Divorced,Bachelor,Government,265490,Mangaluru,Karnataka,03-09-2021
C00080,Female,27,Married,Bachelor,Government,958896,Mangaluru,Karnataka,03-07-2023
C00081,Female,35,Married,High School,Business,891215,Pune,Maharashtra,25-02-2020
C00082,Male,58,Single,Bachelor,Professional,2367897,Udaipur,Rajasthan,15-09-2020
C00083,Male,31,Married,Bachelor,Professional,2782163,Kolkata,West Bengal,09-05-2021
C00084,Male,52,Single,Bachelor,Salaried,1894786,Amritsar,Punjab,21-09-2025
C00085,Female,47,Married,Bachelor,Government,877365,Noida,Uttar Pradesh,15-02-2021
C00086,Male,50,Single,Bachelor,Self-Employed,783471,Amritsar,Punjab,06-03-2023
C00087,Male,37,Single,Master,Government,369464,Kanpur,Uttar Pradesh,05-12-2020
C00088,Female,56,Married,Master,Salaried,1657187,Faridabad,Haryana,10-11-2022
C00089,Male,39,Married,Bachelor,Government,1904344,Hyderabad,Telangana,24-06-2022
C00090,Male,27,Married,PhD,Business,1291084,Vadodara,Gujarat,28-07-2022
C00091,Female,63,Single,MBA,Salaried,1033246,Pune,Maharashtra,09-12-2024
C00092,Male,65,Married,High School,Professional,2188227,Guwahati,Assam,29-06-2020
C00093,Female,41,Married,Bachelor,Professional,2451015,Jodhpur,Rajasthan,16-11-2024
C00094,Female,48,Married,MBA,Business,1660657,Mysuru,Karnataka,15-09-2024
C00095,Female,23,Married,High School,Professional,1097645,Warangal,Telangana,10-03-2024
C00096,Female,34,Single,Bachelor,Business,582361,Gurugram,Haryana,28-04-2021
C00097,Female,22,Married,PhD,Professional,2049035,Bengaluru,Karnataka,03-01-2020
C00098,Male,49,Single,Master,Professional,2334513,Mumbai,Maharashtra,05-11-2021
C00099,Female,38,Divorced,High School,Government,1367397,Mysuru,Karnataka,10-05-2022
C00100,Female,57,Married,Master,Salaried,1367362,Jaipur,Rajasthan,06-06-2020
C00101,Female,65,Married,Bachelor,Professional,2394251,Cuttack,Odisha,04-06-2022
C00102,Female,65,Single,MBA,Salaried,637642,Gaya,Bihar,09-04-2021
C00103,Male,44,Single,Bachelor,Salaried,880589,Mysuru,Karnataka,17-09-2024
C00104,Male,32,Married,Bachelor,Professional,470188,Mumbai,Maharashtra,12-05-2021
C00105,Male,65,Single,Master,Salaried,1956588,Jodhpur,Rajasthan,10-12-2023
C00106,Female,52,Married,Bachelor,Business,2148557,Patna,Bihar,06-07-2024
C00107,Male,38,Married,Bachelor,Self-Employed,2393366,Amritsar,Punjab,29-01-2025
C00108,Male,33,Single,High School,Business,2222651,Noida,Uttar Pradesh,09-01-2022
C00109,Female,24,Single,Bachelor,Professional,527637,Bhubaneswar,Odisha,17-11-2020
C00110,Female,43,Married,MBA,Business,916082,Cuttack,Odisha,25-12-2025
C00111,Male,30,Single,Bachelor,Self-Employed,1464180,Siliguri,West Bengal,01-02-2023
C00112,Male,25,Married,High School,Business,402643,Thiruvananthapuram,Kerala,27-02-2022
C00113,Male,60,Married,Master,Salaried,1140317,Ludhiana,Punjab,10-10-2021
C00114,Male,34,Single,High School,Professional,2544524,Raipur,Chhattisgarh,05-02-2021
C00115,Female,54,Married,Bachelor,Salaried,2859168,Coimbatore,Tamil Nadu,17-02-2023
C00116,Female,48,Married,Bachelor,Salaried,852359,Jodhpur,Rajasthan,17-10-2025
C00117,Female,28,Divorced,Bachelor,Professional,970267,Amritsar,Punjab,10-10-2025
C00118,Female,36,Married,Bachelor,Professional,2492716,Thiruvananthapuram,Kerala,06-08-2024
C00119,Female,51,Married,High School,Government,1618663,Cuttack,Odisha,08-12-2025
C00120,Male,27,Single,Master,Self-Employed,2113777,Indore,Madhya Pradesh,29-01-2023
C00121,Female,23,Married,Bachelor,Salaried,2303197,Madurai,Tamil Nadu,09-06-2023
C00122,Female,49,Single,Master,Salaried,697002,Thiruvananthapuram,Kerala,07-10-2024
C00123,Male,56,Married,Master,Professional,2716087,Amritsar,Punjab,25-06-2023
C00124,Female,59,Single,Bachelor,Professional,970302,Ahmedabad,Gujarat,31-03-2023
C00125,Male,24,Married,MBA,Business,453151,Siliguri,West Bengal,30-11-2024
C00126,Female,29,Single,Bachelor,Salaried,1040965,Thiruvananthapuram,Kerala,19-07-2025
C00127,Female,37,Married,Master,Salaried,2217502,New Delhi,Delhi,15-01-2022
C00128,Female,40,Married,Bachelor,Professional,1767539,Warangal,Telangana,19-02-2021
C00129,Male,34,Married,Bachelor,Salaried,2569000,Warangal,Telangana,23-07-2021
C00130,Female,49,Divorced,MBA,Self-Employed,657951,Bhopal,Madhya Pradesh,29-05-2020
C00131,Male,33,Married,PhD,Government,1813691,Amritsar,Punjab,28-08-2025
C00132,Female,56,Single,Bachelor,Professional,2530819,Pune,Maharashtra,20-01-2020
C00133,Female,65,Married,Bachelor,Professional,2621166,Nagpur,Maharashtra,23-05-2025
C00134,Male,37,Married,MBA,Salaried,1241790,Kochi,Kerala,26-02-2022
C00135,Male,63,Married,Bachelor,Government,2693748,Noida,Uttar Pradesh,22-02-2025
C00136,Female,24,Married,Bachelor,Government,870960,Mysuru,Karnataka,16-06-2023
C00137,Male,40,Single,Bachelor,Professional,1745705,Amritsar,Punjab,31-01-2020
C00138,Female,31,Married,Master,Professional,1376882,New Delhi,Delhi,30-04-2024
C00139,Female,62,Single,MBA,Professional,1703351,Faridabad,Haryana,21-06-2022
C00140,Male,42,Married,MBA,Self-Employed,1328086,Kanpur,Uttar Pradesh,27-03-2022
C00141,Male,65,Single,Bachelor,Salaried,288828,Udaipur,Rajasthan,10-02-2021
C00142,Male,28,Single,Master,Self-Employed,1544441,Mumbai,Maharashtra,15-09-2022
C00143,Female,48,Married,High School,Professional,2186990,Kolkata,West Bengal,12-11-2025
C00144,Male,65,Married,Master,Government,2946874,Warangal,Telangana,06-02-2023
C00145,Female,61,Divorced,Bachelor,Salaried,2322519,Cuttack,Odisha,07-06-2020
C00146,Male,50,Single,Bachelor,Salaried,1380286,Noida,Uttar Pradesh,25-09-2025
C00147,Male,53,Married,Master,Professional,1045435,Raipur,Chhattisgarh,02-04-2024
C00148,Male,53,Married,High School,Professional,2535737,Raipur,Chhattisgarh,20-07-2020
C00149,Male,56,Single,Bachelor,Professional,2042779,Hyderabad,Telangana,10-07-2023
C00150,Male,47,Single,Bachelor,Professional,2154989,Amritsar,Punjab,07-11-2022
C00151,Female,40,Single,Master,Professional,1230643,Surat,Gujarat,29-10-2022
C00152,Male,53,Divorced,Bachelor,Professional,2492126,Mangaluru,Karnataka,24-05-2022
C00153,Male,45,Married,High School,Salaried,1255528,Raipur,Chhattisgarh,03-09-2023
C00154,Female,64,Married,Bachelor,Self-Employed,1516768,Udaipur,Rajasthan,03-04-2025
C00155,Female,63,Single,Master,Government,1094224,Raipur,Chhattisgarh,09-02-2020
C00156,Female,39,Single,High School,Professional,2841351,Raipur,Chhattisgarh,05-02-2024
C00157,Female,41,Married,Master,Government,2948769,Raipur,Chhattisgarh,04-09-2021
C00158,Male,62,Divorced,MBA,Salaried,1325007,Vadodara,Gujarat,27-02-2020
C00159,Male,53,Married,Bachelor,Government,689036,Vadodara,Gujarat,28-09-2024
C00160,Female,23,Married,Master,Salaried,587160,Jaipur,Rajasthan,22-07-2023
C00161,Male,34,Married,Bachelor,Business,623882,Nagpur,Maharashtra,07-10-2024
C00162,Female,35,Divorced,Bachelor,Self-Employed,2069672,Nagpur,Maharashtra,23-09-2025
C00163,Female,53,Married,Bachelor,Business,2828339,Surat,Gujarat,31-08-2022
C00164,Male,62,Divorced,Bachelor,Salaried,637345,Warangal,Telangana,14-09-2025
C00165,Male,42,Single,MBA,Business,2509278,New Delhi,Delhi,23-07-2022
C00166,Female,21,Married,MBA,Salaried,1748528,Coimbatore,Tamil Nadu,22-08-2023
C00167,Male,51,Married,MBA,Business,631461,Indore,Madhya Pradesh,28-02-2025
C00168,Female,55,Married,PhD,Salaried,1538535,Raipur,Chhattisgarh,16-09-2025
C00169,Female,40,Married,Bachelor,Self-Employed,1965520,New Delhi,Delhi,15-02-2025
C00170,Female,52,Single,High School,Self-Employed,614650,Udaipur,Rajasthan,28-05-2024
C00171,Female,32,Single,Bachelor,Self-Employed,2241577,Vadodara,Gujarat,22-02-2022
C00172,Male,36,Divorced,Master,Salaried,2410985,New Delhi,Delhi,22-01-2024
C00173,Female,28,Single,Bachelor,Government,418928,Indore,Madhya Pradesh,21-05-2023
C00174,Female,34,Divorced,MBA,Business,2216526,Guwahati,Assam,01-01-2022
C00175,Female,38,Married,Master,Business,580189,Guwahati,Assam,12-10-2022
C00176,Male,50,Married,Master,Business,1178983,Nagpur,Maharashtra,13-08-2024
C00177,Female,53,Divorced,High School,Business,2915253,Noida,Uttar Pradesh,14-08-2022
C00178,Female,54,Married,Bachelor,Self-Employed,1736440,New Delhi,Delhi,20-04-2023
C00179,Male,64,Married,Bachelor,Government,412448,Guwahati,Assam,03-08-2024
C00180,Female,54,Single,PhD,Business,1711304,Bengaluru,Karnataka,25-08-2022
C00181,Female,27,Married,Bachelor,Government,1278434,Madurai,Tamil Nadu,11-01-2023
C00182,Female,26,Married,Master,Salaried,1436487,Bengaluru,Karnataka,25-10-2021
C00183,Female,26,Married,PhD,Salaried,2531494,Ludhiana,Punjab,21-11-2025
C00184,Male,42,Married,Bachelor,Business,2208955,Kanpur,Uttar Pradesh,16-07-2024
C00185,Male,28,Single,Bachelor,Professional,2043601,Pune,Maharashtra,18-10-2024
C00186,Male,57,Married,Bachelor,Self-Employed,2110020,Gurugram,Haryana,24-05-2022
C00187,Female,35,Single,Bachelor,Business,1414356,Amritsar,Punjab,08-10-2020
C00188,Male,46,Single,MBA,Self-Employed,1594081,Ranchi,Jharkhand,15-05-2025
C00189,Male,59,Single,High School,Business,263284,Faridabad,Haryana,07-03-2020
C00190,Female,23,Single,Bachelor,Self-Employed,1757604,Nagpur,Maharashtra,04-08-2024
C00191,Male,30,Married,Bachelor,Professional,1188475,Bhopal,Madhya Pradesh,23-03-2021
C00192,Male,23,Single,Bachelor,Professional,520418,Ranchi,Jharkhand,26-04-2023
